source_root,source_episode,target_episode,source_frames,kept_frames,cut_frames,cut_seconds,target_from_index,target_to_index
so-arm-101-pouring-0.3_20260622_104354,0,50,450,428,22,1.467,20887,21315
so-arm-101-pouring-0.3_20260622_104354,1,51,450,441,9,0.6,21315,21756
so-arm-101-pouring-0.3_20260622_104354,2,52,450,450,0,0.0,21756,22206
so-arm-101-pouring-0.3_20260622_104354,3,53,450,418,32,2.133,22206,22624
so-arm-101-pouring-0.3_20260622_104354,4,54,450,412,38,2.533,22624,23036
so-arm-101-pouring-0.3_20260622_104354,5,55,450,417,33,2.2,23036,23453
so-arm-101-pouring-0.3_20260622_105106,0,56,450,401,49,3.267,23453,23854
so-arm-101-pouring-0.3_20260622_105343,0,57,450,402,48,3.2,23854,24256
so-arm-101-pouring-0.3_20260622_105525,0,58,450,391,59,3.933,24256,24647
so-arm-101-pouring-0.3_20260622_105656,0,59,450,390,60,4.0,24647,25037
so-arm-101-pouring-0.3_20260622_105837,0,60,450,425,25,1.667,25037,25462
so-arm-101-pouring-0.3_20260622_105837,1,61,450,401,49,3.267,25462,25863
so-arm-101-pouring-0.3_20260622_105837,2,62,450,450,0,0.0,25863,26313
so-arm-101-pouring-0.3_20260622_105837,3,63,450,450,0,0.0,26313,26763
so-arm-101-pouring-0.3_20260622_105837,4,64,450,450,0,0.0,26763,27213
so-arm-101-pouring-0.3_20260622_105837,5,65,450,421,29,1.933,27213,27634
so-arm-101-pouring-0.3_20260622_105837,6,66,450,408,42,2.8,27634,28042
so-arm-101-pouring-0.3_20260622_105837,7,67,450,423,27,1.8,28042,28465
so-arm-101-pouring-0.3_20260622_105837,8,68,450,425,25,1.667,28465,28890
so-arm-101-pouring-0.3_20260622_105837,9,69,450,450,0,0.0,28890,29340
so-arm-101-pouring-0.3_20260622_105837,10,70,450,450,0,0.0,29340,29790
so-arm-101-pouring-0.3_20260622_105837,11,71,450,441,9,0.6,29790,30231
so-arm-101-pouring-0.3_20260622_105837,12,72,450,450,0,0.0,30231,30681
so-arm-101-pouring-0.3_20260622_105837,13,73,450,434,16,1.067,30681,31115
so-arm-101-pouring-0.3_20260622_105837,14,74,450,405,45,3.0,31115,31520
