source_root,source_episode,target_episode,source_frames,kept_frames,cut_frames,cut_seconds,target_from_index,target_to_index
so-arm-101-pouring-0.3_20260623_094229,0,120,450,416,34,2.267,50829,51245
so-arm-101-pouring-0.3_20260623_094229,1,121,450,450,0,0.0,51245,51695
so-arm-101-pouring-0.3_20260623_094229,2,122,450,450,0,0.0,51695,52145
so-arm-101-pouring-0.3_20260623_094229,3,123,450,405,45,3.0,52145,52550
so-arm-101-pouring-0.3_20260623_094229,4,124,450,423,27,1.8,52550,52973
so-arm-101-pouring-0.3_20260623_094229,5,125,450,415,35,2.333,52973,53388
so-arm-101-pouring-0.3_20260623_094229,6,126,450,428,22,1.467,53388,53816
so-arm-101-pouring-0.3_20260623_094229,7,127,450,407,43,2.867,53816,54223
so-arm-101-pouring-0.3_20260623_094229,8,128,450,403,47,3.133,54223,54626
so-arm-101-pouring-0.3_20260623_094229,9,129,450,389,61,4.067,54626,55015
so-arm-101-pouring-0.3_20260623_094229,10,130,450,399,51,3.4,55015,55414
so-arm-101-pouring-0.3_20260623_094229,11,131,450,406,44,2.933,55414,55820
so-arm-101-pouring-0.3_20260623_094229,12,132,450,435,15,1.0,55820,56255
so-arm-101-pouring-0.3_20260623_094229,13,133,450,418,32,2.133,56255,56673
so-arm-101-pouring-0.3_20260623_094229,14,134,450,407,43,2.867,56673,57080
so-arm-101-pouring-0.3_20260623_094229,15,135,450,431,19,1.267,57080,57511
so-arm-101-pouring-0.3_20260623_094229,16,136,450,417,33,2.2,57511,57928
so-arm-101-pouring-0.3_20260623_094229,17,137,450,395,55,3.667,57928,58323
so-arm-101-pouring-0.3_20260623_094229,18,138,450,396,54,3.6,58323,58719
so-arm-101-pouring-0.3_20260623_094229,19,139,450,450,0,0.0,58719,59169
so-arm-101-pouring-0.3_20260623_094229,20,140,450,388,62,4.133,59169,59557
so-arm-101-pouring-0.3_20260623_094229,21,141,450,401,49,3.267,59557,59958
so-arm-101-pouring-0.3_20260623_094229,22,142,450,442,8,0.533,59958,60400
so-arm-101-pouring-0.3_20260623_094229,23,143,450,450,0,0.0,60400,60850
so-arm-101-pouring-0.3_20260623_094229,24,144,450,369,81,5.4,60850,61219
so-arm-101-pouring-0.3_20260623_100617,0,145,450,450,0,0.0,61219,61669
so-arm-101-pouring-0.3_20260623_100617,1,146,450,441,9,0.6,61669,62110
so-arm-101-pouring-0.3_20260623_100617,2,147,450,388,62,4.133,62110,62498
so-arm-101-pouring-0.3_20260623_100617,3,148,450,413,37,2.467,62498,62911
so-arm-101-pouring-0.3_20260623_100617,4,149,450,450,0,0.0,62911,63361
so-arm-101-pouring-0.3_20260623_101313,0,150,450,388,62,4.133,63361,63749
so-arm-101-pouring-0.3_20260623_101313,1,151,450,420,30,2.0,63749,64169
so-arm-101-pouring-0.3_20260623_101313,2,152,450,427,23,1.533,64169,64596
so-arm-101-pouring-0.3_20260623_101313,3,153,450,428,22,1.467,64596,65024
so-arm-101-pouring-0.3_20260623_101313,4,154,450,450,0,0.0,65024,65474
so-arm-101-pouring-0.3_20260623_101313,5,155,450,407,43,2.867,65474,65881
so-arm-101-pouring-0.3_20260623_101313,6,156,450,416,34,2.267,65881,66297
so-arm-101-pouring-0.3_20260623_101313,7,157,450,409,41,2.733,66297,66706
so-arm-101-pouring-0.3_20260623_101313,8,158,450,407,43,2.867,66706,67113
so-arm-101-pouring-0.3_20260623_101313,9,159,450,419,31,2.067,67113,67532
so-arm-101-pouring-0.3_20260623_101313,10,160,450,408,42,2.8,67532,67940
so-arm-101-pouring-0.3_20260623_101313,11,161,450,450,0,0.0,67940,68390
so-arm-101-pouring-0.3_20260623_101313,12,162,450,439,11,0.733,68390,68829
so-arm-101-pouring-0.3_20260623_101313,13,163,450,450,0,0.0,68829,69279
so-arm-101-pouring-0.3_20260623_101313,14,164,450,389,61,4.067,69279,69668
so-arm-101-pouring-0.3_20260623_101313,15,165,450,410,40,2.667,69668,70078
so-arm-101-pouring-0.3_20260623_101313,16,166,450,417,33,2.2,70078,70495
so-arm-101-pouring-0.3_20260623_101313,17,167,450,419,31,2.067,70495,70914
so-arm-101-pouring-0.3_20260623_101313,18,168,450,450,0,0.0,70914,71364
so-arm-101-pouring-0.3_20260623_101313,19,169,450,383,67,4.467,71364,71747
so-arm-101-pouring-0.3_20260623_101313,20,170,450,425,25,1.667,71747,72172
so-arm-101-pouring-0.3_20260623_101313,21,171,450,450,0,0.0,72172,72622
so-arm-101-pouring-0.3_20260623_101313,22,172,450,395,55,3.667,72622,73017
so-arm-101-pouring-0.3_20260623_101313,23,173,450,436,14,0.933,73017,73453
so-arm-101-pouring-0.3_20260623_101313,24,174,450,450,0,0.0,73453,73903
