episode_index,n_frames,n_keep,n_cut,cut_ranges,cut_seconds
0,442,439,3,0-2,0.2
1,423,423,0,,0.0
2,429,429,0,,0.0
3,346,346,0,,0.0
4,426,426,0,,0.0
5,431,431,0,,0.0
6,431,431,0,,0.0
7,450,450,0,,0.0
8,450,450,0,,0.0
9,416,416,0,,0.0
10,377,377,0,,0.0
11,411,411,0,,0.0
12,450,450,0,,0.0
13,411,411,0,,0.0
14,450,450,0,,0.0
15,434,434,0,,0.0
16,424,424,0,,0.0
17,423,423,0,,0.0
18,410,410,0,,0.0
19,420,420,0,,0.0
20,365,365,0,,0.0
21,363,363,0,,0.0
22,450,450,0,,0.0
23,450,450,0,,0.0
24,398,398,0,,0.0
25,450,450,0,,0.0
26,412,412,0,,0.0
27,411,411,0,,0.0
28,417,417,0,,0.0
29,417,417,0,,0.0
30,414,414,0,,0.0
31,433,433,0,,0.0
32,424,424,0,,0.0
33,387,387,0,,0.0
34,402,402,0,,0.0
35,450,450,0,,0.0
36,438,438,0,,0.0
37,409,409,0,,0.0
38,420,420,0,,0.0
39,375,375,0,,0.0
40,450,450,0,,0.0
41,352,352,0,,0.0
42,406,406,0,,0.0
43,450,450,0,,0.0
44,450,450,0,,0.0
45,450,450,0,,0.0
46,402,402,0,,0.0
47,411,411,0,,0.0
48,428,428,0,,0.0
49,349,344,5,344-348,0.3333333333333333
50,428,428,0,,0.0
51,441,441,0,,0.0
52,450,450,0,,0.0
53,418,418,0,,0.0
54,412,412,0,,0.0
55,417,417,0,,0.0
56,401,397,4,0-3,0.26666666666666666
57,402,402,0,,0.0
58,391,382,9,0-8,0.6
59,390,380,10,0-9,0.6666666666666666
60,425,422,3,0-2,0.2
61,401,401,0,,0.0
62,450,450,0,,0.0
63,450,450,0,,0.0
64,450,450,0,,0.0
65,421,421,0,,0.0
66,408,408,0,,0.0
67,423,423,0,,0.0
68,425,425,0,,0.0
69,450,450,0,,0.0
70,450,450,0,,0.0
71,441,441,0,,0.0
72,450,450,0,,0.0
73,434,434,0,,0.0
74,405,405,0,,0.0
75,438,438,0,,0.0
76,450,450,0,,0.0
77,434,434,0,,0.0
78,450,450,0,,0.0
79,450,450,0,,0.0
80,416,416,0,,0.0
81,435,435,0,,0.0
82,450,450,0,,0.0
83,402,402,0,,0.0
84,450,450,0,,0.0
85,450,450,0,,0.0
86,450,450,0,,0.0
87,429,429,0,,0.0
88,450,450,0,,0.0
89,414,406,8,406-413,0.5333333333333333
90,419,406,13,0-12,0.8666666666666667
91,412,412,0,,0.0
92,450,450,0,,0.0
93,450,450,0,,0.0
94,450,450,0,,0.0
95,429,429,0,,0.0
96,450,450,0,,0.0
97,450,450,0,,0.0
98,414,414,0,,0.0
99,447,447,0,,0.0
100,369,369,0,,0.0
101,394,394,0,,0.0
102,450,450,0,,0.0
103,450,450,0,,0.0
104,450,450,0,,0.0
105,424,424,0,,0.0
106,429,429,0,,0.0
107,363,363,0,,0.0
108,426,426,0,,0.0
109,414,414,0,,0.0
110,450,450,0,,0.0
111,405,405,0,,0.0
112,391,391,0,,0.0
113,390,390,0,,0.0
114,432,432,0,,0.0
115,431,431,0,,0.0
116,412,412,0,,0.0
117,403,403,0,,0.0
118,450,450,0,,0.0
119,437,432,5,432-436,0.3333333333333333
120,416,400,16,0-15,1.0666666666666667
121,450,450,0,,0.0
122,450,450,0,,0.0
123,405,405,0,,0.0
124,423,423,0,,0.0
125,415,415,0,,0.0
126,428,428,0,,0.0
127,407,407,0,,0.0
128,403,403,0,,0.0
129,389,389,0,,0.0
130,399,399,0,,0.0
131,406,406,0,,0.0
132,435,435,0,,0.0
133,418,418,0,,0.0
134,407,407,0,,0.0
135,431,431,0,,0.0
136,417,417,0,,0.0
137,395,395,0,,0.0
138,396,396,0,,0.0
139,450,450,0,,0.0
140,388,388,0,,0.0
141,401,401,0,,0.0
142,442,442,0,,0.0
143,450,450,0,,0.0
144,369,365,4,365-368,0.26666666666666666
145,450,434,16,0-15,1.0666666666666667
146,441,441,0,,0.0
147,388,388,0,,0.0
148,413,413,0,,0.0
149,450,450,0,,0.0
150,388,384,4,0-3,0.26666666666666666
151,420,420,0,,0.0
152,427,427,0,,0.0
153,428,428,0,,0.0
154,450,450,0,,0.0
155,407,407,0,,0.0
156,416,416,0,,0.0
157,409,409,0,,0.0
158,407,407,0,,0.0
159,419,419,0,,0.0
160,408,408,0,,0.0
161,450,450,0,,0.0
162,439,439,0,,0.0
163,450,450,0,,0.0
164,389,389,0,,0.0
165,410,410,0,,0.0
166,417,417,0,,0.0
167,419,419,0,,0.0
168,450,450,0,,0.0
169,383,383,0,,0.0
170,425,425,0,,0.0
171,450,450,0,,0.0
172,395,395,0,,0.0
173,436,436,0,,0.0
174,450,450,0,,0.0
